period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city_x,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,zipcode,city_y,county
6/1/2022,8/31/2022,90,zip code,2,9054,f,Zip Code: 22932,,Virginia,VA,Single Family Residential,6,681399.0,-0.030726885,0.179350093,650000.0,-0.022556391,0.04,246.1472603,-0.026065425,0.244595505,230.9027778,0.009847505,0.083167349,59,0.017241379,-0.365591398,40.0,-0.14893617,-0.569892473,43.0,-0.245614035,-0.295081967,23.0,0.0,-0.738636364,,,,7.0,-1.0,-72.0,1.015046146,-0.013290609,-0.003403216,0.525423729,0.025423729,-0.01221068,,,,0.65,-0.115957447,0.65,"Charlottesville, VA",16820,2/10/2025 14:21,22932,Yancey mills,Albemarle
6/1/2019,8/31/2019,90,zip code,2,9048,f,Zip Code: 22911,,Virginia,VA,All Residential,-1,340000.0,0.0,-0.055555556,339950.0,0.00280236,0.096156761,161.2658228,0.00725996,0.030674135,164.6211922,0.000410081,0.057239801,155,-0.134078212,0.026490066,154.0,-0.134831461,0.01986755,164.0,-0.068181818,0.108108108,283.0,-0.024137931,-0.13190184,,,,89.0,3.0,-26.0,0.991999267,-0.001546786,-0.001975515,0.225806452,-0.036763381,-0.092074343,,,,0.012987013,0.007369035,0.006364496,"Charlottesville, VA",16820,2/10/2025 14:21,22911,Zcta 22911,Albemarle
10/1/2024,12/31/2024,90,zip code,2,9054,f,Zip Code: 22932,,Virginia,VA,Townhouse,13,470759.0,-0.017204593,0.082204598,486259.0,0.034593617,-0.012908582,212.5282678,-0.065621727,-0.016732754,226.9500619,0.033076682,-0.008834403,43,0.228571429,-0.085106383,29.0,0.0,0.074074074,45.0,0.046511628,0.125,19.0,0.117647059,-0.05,,,,34.5,22.5,-7.0,0.994461504,-0.001853447,-0.004541105,0.162790698,-0.008637874,-0.092528451,,,,0.310344828,0.0,-0.09706258,"Charlottesville, VA",16820,2/10/2025 14:21,22932,Yancey mills,Albemarle
3/1/2020,5/31/2020,90,zip code,2,9065,f,Zip Code: 22947,,Virginia,VA,All Residential,-1,515000.0,0.077214303,0.024823616,609900.0,0.060695652,0.259850652,166.6666667,0.033656958,-0.078882265,175.7624417,0.062761328,0.116818381,43,0.162162162,0.34375,42.0,0.166666667,0.35483871,58.0,-0.107692308,-0.436893204,117.0,-0.048780488,-0.22,,,,155.0,-15.0,12.0,0.986988147,0.003396133,0.009345555,0.348837209,0.051539912,0.255087209,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22947,Boyd tavern,Albemarle
2/1/2018,4/30/2018,90,zip code,2,9841,f,Zip Code: 24590,,Virginia,VA,Multi-Family (2-4 Unit),4,130000.0,0.0,,,,,70.96069869,0.0,,,,,1,0.0,,,,,,,,,,,,,,354.0,0.0,,0.86724483,0.0,,0.0,0.0,,,,,,,,"Charlottesville, VA",16820,2/10/2025 14:21,24590,Scottsville,Albemarle
11/1/2019,1/31/2020,90,zip code,2,9054,f,Zip Code: 22932,,Virginia,VA,Townhouse,13,411526.0,-0.006638087,-0.105378261,385000.0,-0.030372022,-0.156532274,216.1117381,0.0,0.147434565,198.3786274,0.00271935,-0.002983688,11,-0.153846154,-0.153846154,11.0,-0.153846154,-0.153846154,23.0,0.15,0.045454545,53.0,-0.018518519,0.325,,,,187.0,-9.0,-46.0,0.995499979,-0.000922133,-0.004018052,0.090909091,0.013986014,0.013986014,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22932,Yancey mills,Albemarle
9/1/2017,11/30/2017,90,zip code,2,9064,f,Zip Code: 22946,,Virginia,VA,All Residential,-1,225000.0,,-0.407894737,,,,196.6783217,,0.38451187,,,,1,,0.0,1.0,,0.0,,,,,,,,,,112.0,,10.0,0.978686385,,-0.051123913,0.0,,-1.0,,,,0.0,,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22946,Keene,Albemarle
4/1/2022,6/30/2022,90,zip code,2,9065,f,Zip Code: 22947,,Virginia,VA,All Residential,-1,844500.0,0.012283451,0.200721713,787000.0,-0.074008707,0.038546299,217.3139493,0.028372743,0.035522882,226.7460664,-0.013455711,0.020475519,35,-0.078947368,-0.285714286,31.0,0.0,-0.340425532,46.0,-0.06122449,-0.06122449,28.0,-0.034482759,-0.631578947,,,,10.5,-9.5,-81.5,1.023006165,9.69e-06,0.024065209,0.428571429,-0.018796992,0.06122449,,,,0.64516129,0.0,0.64516129,"Charlottesville, VA",16820,2/10/2025 14:21,22947,Boyd tavern,Albemarle
6/1/2014,8/31/2014,90,zip code,2,9071,f,Zip Code: 22959,,Virginia,VA,Single Family Residential,6,273000.0,-0.230985915,-0.133333333,487250.0,1.448492462,2.748076923,135.4166667,-0.087608225,0.184584101,181.1109862,0.660378783,1.267824523,3,0.0,-0.571428571,3.0,0.0,-0.5,8.0,1.666666667,0.6,14.0,0.272727273,0.4,,,,97.0,32.0,-2.0,0.952499625,-0.009085605,2.7e-05,0.0,0.0,0.0,,,,0.0,0.0,0.0,"Charlottesville, VA",16820,2/10/2025 14:21,22959,Alberene,Albemarle
1/1/2023,3/31/2023,90,zip code,2,9060,f,Zip Code: 22940,,Virginia,VA,All Residential,-1,3600000.0,0.0,7.228571429,924900.0,-0.789795455,0.166330391,555.8987029,0.0,1.368401626,294.9298469,-0.818484085,0.36642151,1,0.0,-0.75,,,,5.0,4.0,0.0,5.0,4.0,-0.285714286,,,,542.0,0.0,465.0,0.907944515,0.0,-0.080219331,0.0,0.0,-0.5,,,,,,,"Charlottesville, VA",16820,2/10/2025 14:21,22940,Mission home,Albemarle
